year,temperature_C,season
2009,9.434238129161447,Post-monsoon (ON)
2010,10.579410091715449,Post-monsoon (ON)
2011,10.223546746130246,Post-monsoon (ON)
2012,9.011558843832237,Post-monsoon (ON)
2013,8.958306678535802,Post-monsoon (ON)
2014,8.611057919890762,Post-monsoon (ON)
2015,10.366354786684012,Post-monsoon (ON)
2016,11.048560264357949,Post-monsoon (ON)
2017,10.903882021960893,Post-monsoon (ON)
2018,9.619291461921078,Post-monsoon (ON)
2019,10.574949906077658,Post-monsoon (ON)
2020,10.505157767647757,Post-monsoon (ON)
2021,10.606065943686346,Post-monsoon (ON)
2022,9.892443211987835,Post-monsoon (ON)
2023,10.299690347276766,Post-monsoon (ON)
1980,2.693014629667782,Winter (DJF)
1981,1.6974032161262187,Winter (DJF)
1982,2.121734557445403,Winter (DJF)
1983,1.202552174914703,Winter (DJF)
1984,2.140085079633645,Winter (DJF)
1985,2.398816106952132,Winter (DJF)
1986,1.64628243917264,Winter (DJF)
1987,2.3441088730602595,Winter (DJF)
1988,3.616100984145034,Winter (DJF)
1989,1.220772385096332,Winter (DJF)
1990,3.3871432828880454,Winter (DJF)
1991,2.060803244794311,Winter (DJF)
1992,1.6545468242847605,Winter (DJF)
1993,3.523035384707023,Winter (DJF)
1994,2.2469491163254447,Winter (DJF)
1995,1.2114263984311775,Winter (DJF)
1996,1.9704721591838426,Winter (DJF)
1997,0.9884733587375267,Winter (DJF)
1998,2.5055470966385975,Winter (DJF)
1999,3.2974775920624886,Winter (DJF)
2000,2.070446092817634,Winter (DJF)
2001,2.9338605920640113,Winter (DJF)
2002,2.623274150932987,Winter (DJF)
2003,1.8339463480473295,Winter (DJF)
2004,2.740970171512113,Winter (DJF)
2005,2.5418971956256575,Winter (DJF)
2006,5.119885531133874,Winter (DJF)
2007,3.1642589211250303,Winter (DJF)
2008,3.145835498690446,Winter (DJF)
2009,4.192261890738407,Winter (DJF)
2010,2.699471230815751,Winter (DJF)
2011,2.677786509155837,Winter (DJF)
2012,1.7790425641336285,Winter (DJF)
2013,2.047260900631658,Winter (DJF)
2014,1.7544817137365227,Winter (DJF)
2015,2.176957475196364,Winter (DJF)
2016,4.520799057837203,Winter (DJF)
2017,3.935618500483611,Winter (DJF)
2018,3.3354668486811905,Winter (DJF)
2019,1.256910345442661,Winter (DJF)
2020,1.9556090626513822,Winter (DJF)
2021,3.4251913105401486,Winter (DJF)
2022,2.0287471753311612,Winter (DJF)
2023,4.021131956445496,Winter (DJF)
